_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
26757,"VIDHYODAYA SHISHU SADAN, GAURADAHA",Jhapa,Private,2059
26758,AANANDA POLTRY FEED INDUSTRIES,Chitwan,Private,2059
26759,SUBA HIMAL INTERNATIONAL,Kathmandu,Private,2059
26760,BIRENDRA MEMORIAL PUBLIC ENGLISH SCHOOL DHANUSHA,Dhanusha,Private,2059
26761,Namaste English School,Kavrepalanchowk,Private,2059
26762,K.M.K. TRADERS,Kathmandu,Private,2059
26763,SHRDIWA INTERNATIONAL SCHOOL,Kathmandu,Private,2059
26764,KUMBHAKARNA SARSAFAI KARYA AND SUPPLIERS,Kathmandu,Private,2059
26765,MODEL ENTERPRISES,Kathmandu,Private,2059
26766,KWALITY DIET & FOOD PRODUCTS,Morang,Private,2059
26767,KWALITY SNACKS,Morang,Private,2059
26768,SITALA DEVI ENGLISH BOARDING SCHOOL,Syangja,Private,2059
26769,GUINNESS INTERNATIONAL HIGHER SECONDARY SCHOOL & COLLEGE,Kathmandu,Private,2059
26770,SARASWATI SHISHU NIKETAN BOARDING SCHOOL,Sunsari,Private,2059
26771,EAST-POLE ENGLISH SCHOOL,Kathmandu,Private,2059
26772,KOSHI ENGLISH BOARDING SCHOOL,Sunsari,Private,2059
26773,Eureka Residential School,Sunsari,Private,2059
26774,HIMMAT HIMALAYAN EDUCATION FOUNDATION JHAPA,Jhapa,Private,2059
26775,SHRIJAN TRADING,Kathmandu,Private,2059
26776,B.S.TRADING,Kathmandu,Private,2059
26777,LIONS INTERNATIONAL NEPAL,Kathmandu,Private,2059
26778,P.AND D. ENTERPRISES COMPANY,Kathmandu,Private,2059
26779,TRIPLET ENGLISH BOARDING SCHOOL KATHMANDU,Kathmandu,Private,2059
26780,ASIALANTIC TECHNOLOGY TRADING,Kathmandu,Private,2059
26781,TARAKUNJA COMPANY FOR EDUCATION KASKI,Kaski,Private,2059
26782,BRITISH GORKHA ACADEMY,Kathmandu,Private,2059
26783,RASHMI HOLDINGS,Kathmandu,Private,2059
26784,Hiunchuli Company,Kathmandu,Public,2059
26785,LOV BUDS (PREM MUNA) MA. VI.,Lalitpur,Private,2059
26786,JALPA DEVI IMPEX,Kathmandu,Private,2059
26787,GREENLAND ACADEMY KATHMANDU,Kathmandu,Private,2059
26788,MORNING GLORY ACADEMIC SCHOOL KASKI,Kaski,Private,2059
26789,KANTIPUR ENGLISH ACADEMY,Kathmandu,Private,2059
26790,JUGMUG CONSTRUCTION,Kathmandu,Private,2059
26791,GOLDEN RAYS CREATIVE FOUNDATION,Kathmandu,Private,2059
26792,LOTUS ENGLISH BOARDING SCHOOL PVT.,Sunsari,Private,2059
26793,BUDDHA ADARSHA BOARDING SCHOOL,Sunsari,Private,2059
26794,GREEN NORTH POINT ENGLISH SCHOOL MORANG,Morang,Private,2059
26795,SUNRISE ENGLISH BOARDING SCHOOL,Sunsari,Private,2059
26796,OM HARI INTERNATIONAL,Kathmandu,Private,2059
26797,CATMANDO EXHIBITION AND EVENTS,Kathmandu,Private,2059
26798,GROUP 4 CREATION,Lalitpur,Private,2059
26799,"MOUNT EVEREST ENGLISH BOARDING SCHOOL, NAWAL*",Nawalparasi,Private,2059
26800,JUGMUG DHUWANI SEWA,Kathmandu,Private,2059
26801,SHREE PASHUPATI ENGLISH MEDIUM SCHOOL,Banke,Private,2059
26802,NISHU TRADING COMPANY,Kathmandu,Private,2059
26803,BIR & B. TRADERS,Kathmandu,Private,2059
26804,RAJAN TRADING COMPANY,Kathmandu,Private,2059
26805,EAST WATER RESOURCES DEVELOPMENT,Lalitpur,Private,2059
26806,MANIMUKUNDA ENGLISH BOARDING SCHOOL,Rupandehi,Private,2059
26807,BUTWAL ELITE ENGLISH SCHOOL,Rupandehi,Private,2059
26808,IGNAM PICTURES,Kathmandu,Private,2059
26809,GLOBLE E-BUSINESS & RESEARCH CENTR,Kathmandu,Private,2059
26810,PURNA TRADING COMPANY,Kathmandu,Private,2059
26811,YAMAN TRADING COMPANY,Kathmandu,Private,2059
26812,YAMA TRADERS,Kathmandu,Private,2059
26813,SHREE GANESH BABA ENGLISH BOARDING HIGH  SCHOOL,Bardiya,Private,2059
26814,BAL PRATIVA ENGLISH SCHOOL MORANG,Morang,Private,2059
26815,SHREE AJIT AASHA & LAXMI FURNITURE FINISHERS,Kathmandu,Private,2059
26816,COMPUTER HOUSE NEPAL,Kathmandu,Private,2059
26817,CHHINCHU ENGLISH MEDIUM SCHOOL SURKHET,Surkhet,Private,2059
26818,BUDDHA BHUMI MOVIES,Kathmandu,Private,2059
26819,TRIMURTY SAHASHIKSHA VIDYALAYA,Kathmandu,Private,2059
26820,TRISHULI SAMUDAYIK BOARDING SCHOOL,Nuwakot,Private,2059
26821,SENT JOSEPH SCHOOL,Kathmandu,Private,2059
26822,SHREE DIVYAGYAN BOARDING HIGH SCHOOL KATHMANDU,Kathmandu,Private,2059
26823,BHUTPURBA SAINIK SCHOOL KAPILVASTU,Kapilvastu,Private,2059
26824,DIPJYOTI CABLE T.V. NETWORK,Dhanusha,Private,2059
26825,CAMELLIA SCHOOL,Kathmandu,Private,2059
26826,GITANJALI ENGLISH SCHOOL,Kathmandu,Private,2059
26827,NEW STAR ENGLISH SCHOOL(KATHMANDU),Kathmandu,Private,2059
