_id,ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
262,Harinarsingh Bhattachan Foundation,Kathmandu,Non-Profit Distributing,2065
263,Info Touch Nepal,Kathmandu,Private,2065
264,Rukum Everest English Academy,Rukum,Private,2065
265,Education And Migration Nepal,Kathmandu,Private,2065
266,Valley Green Energy,Kathmandu,Private,2065
267,Janata Hospital & Research Center,District not known,Private,2065
268,G.M.T. International Media,Kathmandu,Private,2065
269,Roshani Creation Company,Kathmandu,Private,2065
270,Abhilekh Developers,Kathmandu,Private,2065
271,Kabiyatri Builder's,Kathmandu,Private,2065
272,Ilam Jaubari Tea Estate,Lalitpur,Private,2065
273,Nikhilesh Travel & Tours,Kathmandu,Private,2065
274,Kunwar Investment Company,Kaski,Private,2065
275,Essential Sports Consultancy,Kathmandu,Private,2065
276,N.S. Institute and Consultancy,Banke,Private,2065
277,B.K. Tele Sub Mobile Sale & Repairing Center,Kathmandu,Private,2065
278,Shree Jyoti Construction & Developers,Kathmandu,Private,2065
279,South Engineering Consultancy,Kaski,Private,2065
280,Dordi Hydropower,Kathmandu,Private,2065
281,Chaand Traders,Kathmandu,Private,2065
282,CHAAND TRADERS,Kathmandu,Private,2065
283,Swargadwari Investment Company,Kathmandu,Private,2065
284,Housing and Apartment Developers,Kathmandu,Private,2065
285,S.P. Emporium Company,Kathmandu,Private,2065
286,Humagain World Traders,Kathmandu,Private,2065
287,Nepal Montessori Training Center,Lalitpur,Private,2065
288,Shubha Labha Cassette Center,Kathmandu,Private,2065
289,World Vision Developers and Builders,Bhaktapur,Private,2065
290,Binayak Diamond English Medium Boarding School,District not known,Private,2065
291,Glitters Studio,Kathmandu,Private,2065
292,Pokhara Mixture,Kaski,Private,2065
293,Westar Properties,Kathmandu,Private,2065
294,Rajbir Hydropower Company,Myagdi,Private,2065
295,Apex Educational Academy,Kathmandu,Private,2065
296,Asian Modern Employment Service,Kathmandu,Private,2065
297,Dolma Thangka Arts Centre,Kathmandu,Private,2065
298,Sahara English Medium School Surkhet,District not known,Private,2065
299,Oracle Travels & Tours,Kathmandu,Private,2065
300,Kashyap Medical,Kaski,Private,2065
301,Aura Educational Consultancy,Sunsari,Private,2065
302,Ad. Age,Kathmandu,Private,2065
303,Kitchen Hut,Banke,Private,2065
304,Home Of Perfect Education Consultancy,Kathmandu,Private,2065
305,Alternative Media,Kathmandu,Private,2065
306,Garnish Hotel & Family Resort,Bhaktapur,Private,2065
307,Light Pole Star Academy,Sindhuli,Private,2065
308,Damak Technical Education Foundation,Jhapa,Private,2065
309,Halede Hillside Herbs,Kavrepalanchowk,Private,2065
310,Educational Resource & Service Center,Kathmandu,Private,2065
311,Shrestha Management & Investment International,Kathmandu,Private,2065
312,Hello Mark Education Consultancy,Kathmandu,Private,2065
313,Aadarsha Seed Company,District not known,Private,2065
314,Entrance Educational Consultancy,Kathmandu,Private,2065
315,Rosedale Developers,Kathmandu,Private,2065
316,Himshringkhala Hydro Power,Lalitpur,Private,2065
317,Hua Yue Mining Company,Kathmandu,Private,2065
318,Centure Publication Home,Kathmandu,Private,2065
319,Birala Cement,District not known,Private,2065
320,Quantum Energy,Lalitpur,Private,2065
321,Raksha Trading House,Lalitpur,Private,2065
322,Jungle Sunset Camp,Chitwan,Private,2065
323,Yunchhoma Money Transfer,Kathmandu,Private,2065
324,Bani Academy,Kathmandu,Private,2065
325,Arrow Net,Kathmandu,Private,2065
326,Ambuj Money Transfer,Kathmandu,Private,2065
327,U.S.-Nepal Tex. & Handicraft Industries,Kathmandu,Private,2065
328,Sagar Home,Kathmandu,Private,2065
329,Applied Value,Lalitpur,Private,2065
330,B.G. Net,Kathmandu,Private,2065
331,Shiva Om Housing,Kathmandu,Private,2065
332,Pashchimanchal Seed Company,Rupandehi,Private,2065
333,Youth Vision Educare Service,Kathmandu,Private,2065
334,Magno Tech Link,Lalitpur,Private,2065
335,Umamaheshwor Trading,Kathmandu,Private,2065
336,Mount Everest Marriage Bureau,Lalitpur,Private,2065
337,Glass Etching Centre,Kathmandu,Private,2065
338,Social Development Research Support Action,Kathmandu,Private,2065
